periodo	Demanda Interna	Consumo Privado	Consumo Público	Inversión Bruta Interna	Inversión Bruta Fija	Inversión Bruta Fija - Privada	Inversión Bruta Fija - Pública	Variación de Inventarios	Exportaciones	Importaciones	PBI
T399	48625.8883	35563.39206	6398.697879	6663.798365	11307.87681	7905.646089	3402.230722	-4644.078446	14471.25124	9901.04974	53196.08981
T499	52848.27475	33860.63755	6867.839626	12119.79758	11287.64079	7909.188277	3378.452514	832.1567846	14328.72916	10728.76774	56448.23617
T100	50897.90173	34941.61699	6137.131667	9819.153073	10165.23566	7666.96676	2498.2689	-346.0825869	13623.84616	9846.925511	54674.82238
T200	54369.40168	35361.29815	6366.528879	12641.57465	9465.12635	6800.716249	2664.410101	3176.4483	14097.45281	10211.30379	58255.55071
T300	49541.48101	36160.9121	6499.804901	6880.764005	9653.695872	7354.572695	2299.123177	-2772.931866	15043.05153	9962.781407	54621.75114
T400	49861.04259	36727.17276	6440.534554	6693.335284	10379.42417	7638.744296	2740.679877	-3686.088888	15665.96122	10872.42068	54654.58313
T101	48291.51994	35365.17804	5442.897811	7483.444086	8212.405098	6835.206981	1377.198117	-728.9610121	13939.23047	10470.38344	51760.36698
T201	53231.39934	36088.83614	6292.549832	10850.01337	8814.330108	6771.881995	2042.448113	2035.683262	15405.27445	10205.6097	58431.06409
T301	49999.24055	36684.39845	6448.6487	6866.193394	9165.412783	7476.442398	1688.970385	-2299.219389	16895.5646	10775.15783	56119.64731
T401	51926.98191	36490.58737	7055.903656	8380.490882	9690.915188	7005.468625	2685.446563	-1310.424306	15963.24037	10621.7249	57268.49737
T102	50591.24726	37166.14639	5558.244971	7866.855899	8098.027658	6669.326452	1428.701206	-231.1717591	14466.96558	9920.471639	55137.7412
T202	56029.46783	37694.37456	6165.224607	12169.86866	8563.350609	6729.81036	1833.540249	3606.518051	16999.24634	10721.48739	62307.22678
T302	51402.88673	38481.14667	6561.996649	6359.74341	9028.204352	7277.015085	1751.189267	-2668.460942	18205.4228	11203.95506	58404.35447
T402	54403.92193	38332.33237	6954.533773	9117.055789	9768.270244	7468.848103	2299.42214	-651.2144546	16722.88339	11203.18065	59923.62468
T103	53147.80758	37520.54684	5883.623782	9743.636959	8804.841846	7263.930443	1540.911403	938.7951133	16294.35135	11192.88879	58249.27014
T203	58077.04236	38830.87347	6313.513238	12932.65565	8950.061836	7141.395996	1808.665841	3982.59381	17958.93051	10833.48476	65202.48811
T303	53760.99471	39644.76682	6661.13849	7455.0894	9585.414465	7917.067073	1668.347392	-2130.325065	18181.88489	11391.19613	60551.68347
T403	55160.56099	39490.81287	7365.72449	8304.023628	10053.39217	7592.606488	2460.785683	-1749.368543	17855.87519	11427.26415	61589.17203
T104	53876.3743	39277.15252	5865.664837	8733.55694	9279.155863	7995.788906	1283.366956	-545.5989228	18267.72472	11230.28345	60913.81557
T204	61573.24874	40053.85027	6519.789288	14999.60918	9274.332449	7768.454326	1505.878123	5725.276732	18549.82567	12483.36154	67639.71287
T304	53609.39859	40861.6153	7083.924573	5663.858711	10010.86975	8202.15009	1808.719662	-4347.01104	22052.57801	12516.22375	63145.75285
T404	57035.07187	40576.38191	7829.621302	8629.068659	11237.1575	8368.606677	2868.550819	-2608.088837	21936.78819	12901.35512	66070.50494
T105	55151.14239	40601.02096	6448.931869	8101.189556	9598.286108	8332.651049	1265.635059	-1497.096552	21714.9509	12525.20388	64340.88941
T205	62734.74423	41347.89763	6928.216385	14458.63021	10098.29334	8496.807777	1601.48556	4360.336871	22337.18183	13761.55844	71310.36762
T305	56821.48282	42411.09742	7494.573942	6915.811463	11172.68925	9321.57446	1851.114787	-4256.877785	24315.50014	13907.15677	67229.82619
T405	60607.17679	42293.98399	8911.277804	9401.914997	13572.18037	10065.96671	3506.21366	-4170.265377	24760.30749	14277.41361	71090.07067
T106	62966.98614	42939.81477	6914.682508	13112.48887	11999.16476	10649.13472	1350.030044	1113.324105	21346.83808	14643.06016	69670.76407
T206	68519.94934	43935.42543	7473.404145	17111.11976	12022.00934	10108.31868	1913.69066	5089.110425	22212.24529	14908.25913	75823.93549
T306	63665.96208	45099.67911	8081.896069	10484.3869	13066.70928	10754.41166	2312.297619	-2582.322379	24017.82533	14877.51835	72806.26906
T406	68336.09473	45031.0807	9576.017279	13728.99675	16058.88124	11970.13494	4088.746302	-2329.884489	25119.23933	17158.47187	76296.86218
T107	68784.28016	46181	7999	14604.28016	13409.63846	12071.90914	1337.729326	1194.641697	21907.71122	17337.85738	73354.134
T207	75408.34275	47902	7888	19618.34275	14549.35505	12465.37607	2083.978986	5068.987701	22992.82008	17775.20783	80625.955
T307	74359.53183	48878	8475	17006.53183	16725.23192	14045.48942	2679.742496	281.299915	26072.15051	19732.06034	80699.622
T407	78375.59751	49355	9062	19958.59751	20263.49098	15043.22537	5220.265609	-304.8934692	26528.74951	19891.05803	85013.289
